@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
393,'2020/01/13 08:24:29:573',19,258.398438,0.581467,5.498352,1
394,'2020/01/13 08:24:30:207',19,301.464844,0.781111,9.911705,1
395,'2020/01/13 08:24:30:774',19,258.398438,1.159756,9.422465,1
396,'2020/01/13 08:24:31:324',19,172.265625,0.988845,7.932876,1
397,'2020/01/13 08:24:31:557',19,215.332031,0.438489,6.082923,1
398,'2020/01/13 08:24:32:007',19,258.398438,1.280669,9.731416,1
399,'2020/01/13 08:24:32:806',19,172.265625,0.43744,5.622159,1
400,'2020/01/13 08:24:33:390',19,301.464844,0.65452,8.351089,1
401,'2020/01/13 08:24:33:624',19,215.332031,0.405091,5.717408,1
402,'2020/01/13 08:24:34:057',19,215.332031,0.773001,8.395459,1
403,'2020/01/13 08:24:34:823',19,172.265625,0.737497,8.026505,1
404,'2020/01/13 08:24:35:557',19,258.398438,0.657865,7.417876,1
405,'2020/01/13 08:24:36:206',19,129.199219,0.524689,6.367208,1
406,'2020/01/13 08:24:36:757',19,172.265625,1.061121,8.262535,1
407,'2020/01/13 08:24:37:323',19,215.332031,1.216112,10.652944,1
408,'2020/01/13 08:24:37:957',19,215.332031,0.669762,8.108665,1
409,'2020/01/13 08:24:38:557',19,258.398438,0.795031,10.024549,1
410,'2020/01/13 08:24:40:340',19,301.464844,0.645079,7.326838,1
411,'2020/01/13 08:24:42:006',19,258.398438,1.004102,10.787856,1
412,'2020/01/13 08:24:42:690',19,215.332031,0.993799,8.083962,1
413,'2020/01/13 08:24:43:023',19,215.332031,0.391268,5.155089,1
414,'2020/01/13 08:24:43:440',19,172.265625,1.024606,7.781237,1
415,'2020/01/13 08:24:44:173',19,258.398438,0.658165,9.024323,1
416,'2020/01/13 08:24:44:823',19,258.398438,0.6802,6.54035,1
417,'2020/01/13 08:24:45:757',19,258.398438,1.657413,13.45422,1
418,'2020/01/13 08:24:46:323',19,172.265625,0.684304,7.238816,1
419,'2020/01/13 08:24:46:989',19,301.464844,0.635962,5.244448,1
420,'2020/01/13 08:24:47:606',19,215.332031,0.924038,7.200591,1
421,'2020/01/13 08:24:48:807',19,215.332031,0.516031,5.226038,1
422,'2020/01/13 08:24:48:890',19,258.398438,0.532465,5.309502,1
423,'2020/01/13 08:24:49:806',19,129.199219,0.7065,6.231973,1
424,'2020/01/13 08:24:50:406',19,258.398438,0.820574,7.427438,1
425,'2020/01/13 08:24:50:756',19,215.332031,0.400859,5.554638,1
426,'2020/01/13 08:24:51:040',19,301.464844,0.554499,6.887913,1
427,'2020/01/13 08:24:52:223',19,258.398438,0.906452,8.532965,1
428,'2020/01/13 08:24:52:923',19,215.332031,0.946701,7.90736,1
429,'2020/01/13 08:24:53:590',19,258.398438,0.902896,8.488727,1
430,'2020/01/13 08:24:54:256',19,258.398438,0.380379,5.758816,1
431,'2020/01/13 08:24:54:823',19,301.464844,0.583931,5.785152,1
432,'2020/01/13 08:24:55:440',19,172.265625,0.720576,6.399584,1
433,'2020/01/13 08:24:56:040',19,215.332031,0.674389,5.365021,1
434,'2020/01/13 08:24:56:823',19,258.398438,0.486504,5.297124,1
435,'2020/01/13 08:24:57:390',19,129.199219,0.393595,5.028453,1
436,'2020/01/13 08:24:58:006',19,129.199219,0.64411,6.224361,1
437,'2020/01/13 08:24:59:073',19,129.199219,0.612738,7.170123,1
438,'2020/01/13 08:24:59:723',19,172.265625,0.560735,7.150061,1
439,'2020/01/13 08:24:59:823',19,172.265625,0.462735,5.322176,1
440,'2020/01/13 08:25:00:307',19,172.265625,0.777781,8.037692,1
441,'2020/01/13 08:25:00:874',19,172.265625,0.719959,5.928998,1
442,'2020/01/13 08:25:01:589',19,172.265625,0.778919,6.583389,1
443,'2020/01/13 08:25:02:140',19,215.332031,0.616599,5.325522,1
444,'2020/01/13 08:25:02:740',19,301.464844,0.456777,5.374307,1
445,'2020/01/13 08:25:03:873',19,301.464844,0.443815,5.271684,1
446,'2020/01/13 08:25:04:473',19,258.398438,0.955735,8.802317,1
447,'2020/01/13 08:25:05:040',19,215.332031,0.844665,7.029834,1
448,'2020/01/13 08:25:05:557',19,215.332031,0.693616,5.340762,1
449,'2020/01/13 08:25:06:106',19,258.398438,0.910725,7.344089,1
450,'2020/01/13 08:25:06:989',19,172.265625,0.596074,5.544738,1
451,'2020/01/13 08:25:07:590',19,172.265625,0.604429,5.604709,1
452,'2020/01/13 08:25:08:873',19,172.265625,0.731295,7.01252,1
453,'2020/01/13 08:25:09:589',19,172.265625,0.723834,6.693011,1
454,'2020/01/13 08:25:10:373',19,172.265625,0.801477,6.544818,1
455,'2020/01/13 08:25:10:606',19,215.332031,0.533218,5.006986,1
456,'2020/01/13 08:25:11:073',19,215.332031,0.818107,7.064491,1
457,'2020/01/13 08:25:11:806',19,258.398438,0.693239,7.100727,1
458,'2020/01/13 08:25:12:556',19,258.398438,0.60111,7.297173,1
459,'2020/01/13 08:25:13:190',19,129.199219,0.518682,5.526817,1
460,'2020/01/13 08:25:14:673',19,258.398438,0.723507,7.61785,1
461,'2020/01/13 08:25:15:240',19,172.265625,0.958737,7.695486,1
462,'2020/01/13 08:25:16:090',19,172.265625,0.488397,5.652303,1
463,'2020/01/13 08:25:16:723',19,258.398438,0.687027,7.935431,1
464,'2020/01/13 08:25:17:907',19,215.332031,0.785662,7.007135,1
465,'2020/01/13 08:25:17:989',19,172.265625,0.428954,5.373815,1
466,'2020/01/13 08:25:18:824',19,172.265625,0.750283,7.678195,1
467,'2020/01/13 08:25:19:706',19,258.398438,0.624324,6.964708,1
468,'2020/01/13 08:25:20:390',19,301.464844,0.430471,5.099854,1
469,'2020/01/13 08:25:21:390',19,172.265625,0.800807,6.767756,1
